company_id,abn,company_name,normalized_name,website_url,industry,industry_category,entity_type,entity_status,address_line_1,address_line_2,suburb,state,postcode,email,phone,start_date,gst_registered,data_quality_score,matching_confidence,matching_method,created_at,updated_at,postcode_validation_status,postcode_corrected,postcode_confidence,primary_email,secondary_email,primary_phone,secondary_phone,business_age_years,dgr_endorsed,is_active,social_platforms_count,digital_maturity_score,digital_presence_level,has_website,has_linkedin,has_facebook,has_instagram,has_twitter,has_youtube,has_tiktok,has_github,has_pinterest,completeness_score,accuracy_score,consistency_score,quality_tier,llm_reasoning_summary,manual_review_required,processing_time_ms,llm_provider,enhancement_version,industry_company_count,state_company_count,avg_quality_in_industry,avg_digital_maturity_in_state,is_above_avg_quality,is_above_avg_digital
sample_00001,95770784627,Metro Partners Limited,metro partners,https://metropartners.com.au,Mining,Marketing,Australian Private Company,Active,801 Kent Drive,,Newcastle,NSW,1653,hello@company7133.com.au,(08) 3222 1410,1994-09-10,Yes,0.806,0.744,,2025-08-26T22:05:31.459009Z,2025-09-09T22:05:31.459009Z,valid,,1.0,hello@company7133.com.au,sales@company7133.com.au,(08) 3222 1410,,30,No,Yes,4,0.644,medium,Yes,Yes,Yes,No,No,No,No,Yes,No,0.938,0.691,0.771,medium,Fuzzy name matching with domain verification,,240,anthropic,2.0,280,624,0.7754607142857143,0.6298365384615384,True,True
sample_00002,96181180082,Urban Consulting Holdings,urban consulting holdings,https://urbanconsulting.com.au,Construction,Architecture,Australian Private Company,Active,696 Kent Road,,Mount Gambier,SA,5121,,(08) 8240 3331,1996-06-06,No,0.764,0.612,,2024-11-29T22:05:31.459077Z,2024-12-24T22:05:31.459077Z,valid,,1.0,,,(08) 8240 3331,,28,No,Yes,4,0.54,medium,Yes,Yes,No,No,Yes,No,No,Yes,No,0.83,0.796,0.57,medium,Fuzzy name matching with domain verification,,134,anthropic,2.0,277,627,0.7871046931407942,0.6214848484848484,False,False
sample_00003,49926879024,Trading Group,trading group,https://tradinggroup.com.au,Energy,Retail,Australian Private Company,Active,896 Queen Lane,,Gold Coast,QLD,4168,contact@company8391.com.au,(02) 2764 1255,1999-10-09,Yes,0.676,0.839,,2025-08-26T22:05:31.459116Z,2025-08-30T22:05:31.459116Z,valid,,1.0,contact@company8391.com.au,,(02) 2764 1255,,25,No,Yes,7,0.89,high,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0.65,0.687,0.709,low,Strong semantic similarity with business context validation,,374,anthropic,2.0,283,647,0.7826537102473498,0.6229551777434312,False,True
sample_00004,84051515714,Elite Consulting Pty Limited,elite consulting pty,,Education,Retail,Australian Private Company,Active,310 Sussex Drive,Suite 11,Canberra,ACT,266,admin@company3185.com.au,,2004-10-09,Yes,0.799,0.58,,2025-05-19T22:05:31.459147Z,2025-05-23T22:05:31.459147Z,valid,,1.0,admin@company3185.com.au,,,,20,No,Yes,6,0.881,high,No,Yes,Yes,No,No,Yes,Yes,No,No,0.934,0.72,0.688,medium,"ABR record only, limited validation available",,136,anthropic,2.0,315,632,0.7842571428571429,0.630131329113924,True,True
sample_00005,63411163204,Group Corporation,group corporation,https://groupcorporatio.edu.au,Transportation,Engineering,Australian Private Company,Inactive,508 Queen Avenue,Suite 38,Canberra,ACT,0239,info@company5427.com.au,(08) 7842 6054,2002-04-18,Yes,0.766,0.68,,2025-03-08T22:05:31.459178Z,2025-03-31T22:05:31.459178Z,valid,,1.0,info@company5427.com.au,,(08) 7842 6054,(07) 6609 3919,22,No,No,5,0.568,medium,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,0.749,0.789,0.754,medium,Fuzzy name matching with domain verification,,132,anthropic,2.0,277,632,0.7826353790613718,0.630131329113924,False,False
sample_00006,05769027378,Metro Tech Limited,metro tech,,Transportation,Restaurant,Australian Private Company,Active,695 King Close,Suite 36,Parramatta,NSW,2098,admin@company4478.com.au,(04) 7637 2662,1993-05-26,Yes,0.911,0.826,,2025-07-03T22:05:31.459329Z,2025-07-15T22:05:31.459329Z,valid,,1.0,admin@company4478.com.au,sales@company4478.com.au,(04) 7637 2662,(08) 5214 6501,31,No,Yes,4,0.608,medium,No,Yes,No,No,No,Yes,No,No,Yes,0.912,0.928,0.875,high,Strong semantic similarity with business context validation,,419,anthropic,2.0,277,624,0.7826353790613718,0.6298365384615384,True,False
sample_00007,63438643411,Consulting Australia,consulting australia,https://consultingaustr.org.au,Healthcare,Logistics,Australian Private Company,Active,126 Elizabeth Close,,Darwin,NT,0942,,(02) 2263 7166,1993-04-06,No,0.906,0.974,,2025-05-31T22:05:31.459358Z,2025-06-03T22:05:31.459358Z,valid,,1.0,,,(02) 2263 7166,,31,No,Yes,4,0.603,medium,Yes,Yes,No,No,No,Yes,No,Yes,No,0.953,0.868,0.891,high,High confidence match with enhanced social validation,,544,anthropic,2.0,258,602,0.7865697674418605,0.633234219269103,True,False
sample_00008,81986680118,Systems Group,systems group,https://systemsgroup.com.au,Construction,Marketing,Australian Private Company,Active,411 George Place,Suite 46,Devonport,TAS,7403,sales@company9056.com.au,(07) 6051 2623,1993-10-26,Yes,0.721,0.9,,2024-12-08T22:05:31.459386Z,2024-12-31T22:05:31.459386Z,valid,,1.0,sales@company9056.com.au,,(07) 6051 2623,,31,No,Yes,3,0.675,medium,Yes,Yes,No,No,Yes,Yes,No,No,No,0.626,0.734,0.887,medium,Strong semantic similarity with business context validation,,339,anthropic,2.0,277,624,0.7871046931407942,0.6203910256410257,False,True
sample_00009,27769487700,Metro Construction Limited,metro construction,https://metroconstructi.edu.au,Food & Beverage,Web Design,Australian Private Company,Active,538 Elizabeth Road,,Geelong,VIC,3738,contact@company854.com.au,(03) 3134 9136,1992-06-26,Yes,0.812,0.699,,2025-09-28T22:05:31.459413Z,2025-10-06T22:05:31.459413Z,valid,,1.0,contact@company854.com.au,sales@company854.com.au,(03) 3134 9136,,32,No,Yes,3,0.619,medium,Yes,Yes,No,No,No,No,No,No,No,0.765,0.832,0.863,medium,Fuzzy name matching with domain verification,,160,anthropic,2.0,262,627,0.7778282442748091,0.6294274322169059,True,False
sample_00010,47719976541,Systems Limited,systems,https://systems.net.au,Mining,Marketing,Australian Private Company,Active,879 King Place,Suite 7,Belconnen,ACT,0247,hello@company5203.com.au,(03) 6327 9575,1995-07-07,Yes,0.858,0.865,,2025-09-20T22:05:31.459441Z,2025-10-01T22:05:31.459441Z,valid,,1.0,hello@company5203.com.au,admin@company5203.com.au,(03) 6327 9575,,29,No,Yes,5,0.693,medium,Yes,No,Yes,No,Yes,Yes,Yes,No,No,0.953,0.87,0.647,high,Strong semantic similarity with business context validation,,459,anthropic,2.0,280,632,0.7754607142857143,0.630131329113924,True,True
